time	S1	S2	S3	
0	0	0	0	
0.5	1031.962	564.71152	58.684747	
1	1297.8363	562.32515	126.88889	
1.5	1197.3627	708.54737	147.53697	
2	734.41323	634.2298	179.06061	
2.5	1018.9794	723.10263	219.90747	
3	836.84889	643.82576	256.73293	
3.5	981.83545	788.92232	303.05293	
4	774.54253	672.40768	270.29202	
4.5	646.67838	673.55394	297.83222	
5	835.7802	694.2298	329.1499	
5.5	579.09051	715.63596	326.1999	
6	573.92162	616.11354	351.44202	
6.5	521.42818	638.16758	364.30899	
7	438.20242	528.65242	372.47788	
7.5	426.92081	519.08798	388.10212	
8	447.9798	465.97333	382.85899	
8.5	340.83828	498.10747	401.30869	
9	438.05848	436.03828	427.33444	
9.5	353.95798	397.40242	427.61	
10	371.52515	327.58828	420.0303	
